 -, -,Poverty Head count Rate,Poverty Head count Rate,Poverty Head count Rate,Distribution of the Poor,Distribution of the Poor,Distribution of the Poor,Distribution of Population,Distribution of Population,Distribution of Population
 -, -,1995-96,2003-04,2010-11,1995-96,2003-2004,2010-11,1995-96,2003-04,2010-11
 -, -,(A),(A),(A),(B),(B),(B),(C),(C),(C)
Self-employed in,Agriculture,43.1,32.9,27.23,60.7,66.9,55.2,58.8,62.7,51
Self-employed in,Manufacturing,41.4,31.2,22.44,3.4,4.5,3.8,3.4,4.4,4.2
Self-employed in,Trade,32.2,11.1,13.21,4.3,1.6,4.1,5.6,4.5,7.9
Self-employed in,Services,25.3,14.4,19.63,1,1.5,2,1.6,3.2,2.6
Wage earner in,Agriculture,55.9,53.8,47.03,15.7,10.9,6.3,11.7,6.2,3.4
Wage earner in,Professional,8.3,2.1,5.55,0.4,0.2,0.7,2.2,2.9,3.3
Wage earner in,Other,39.7,28.8,28.25,10.6,10,16.2,11.1,10.7,14.5
Wage earner in,"Extended economic 
activity", -, -,31.55, -, -,5.9, -, -,4.7
Wage earner in,Unemployed,9.5,2.9,26.65,0.1,0,0.4,0.3,0.2,0.4
Wage earner in,Non-active,30.5,26.9,16.63,3.9,4.4,5.3,5.3,5.1,8
 -,Total,41.8,30.8,25.16,100,100,100,100,O,100
