MUNICIPALITIES ,DISTRICT ,POPULATION
Metropolitan City, -, -
Kathmandu,Kathmandu,975453
Pokhara Lekhnath,Kaski,414141
Lalitpur,Lalitpur,284922
Bharatpur,Chitawan,280502
Biratnagar,Morang,214663
Birgunj,Parsha,204816
Sub Metropolitan City, -, -
Ghorahi,Dang,156164
Janakpur,Dhanusha,153614
Hetauda,Makawanpur,152875
Dhangadhi,Kailali,147741
Tulsipur,Dang,141528
Itahari,Sunsari,140517
Nepalgunj,Banke,138951
Butwal,Rupandehi,138741
Dharan,Sunsari,137705
Kalaiya,Bara,123659
Jeetpur Simara,Bara,114185
Mechinagar,Jhapa,111797
Budhanilkantha,Kathmandu,107918
Gokarneshwor,Kathmandu,107351
Bheemdatta,Kanchanpur,104599
Birendranagar,Surkhet,100458
Tilottama,Rupandehi,100149
Tokha,Kathmandu,99032
Lahan,Siraha,91766
Triyuga,Udayapur,87557
Chandragiri,Kathmandu,85198
Madhyapur Thimi,Bhaktapur,83036
Siraha,Siraha,82531
Birtamod,Jhapa,81878
Bhaktapur,Bhaktapur,81728
Tarkeshor,Kathmandu,81443
Sundar Haraincha,Morang,80518
Suryabinayak,Bhaktapur,78490
Godawari,Lalitpur,78301
Godawari,Kailali,78018
Baraha,Sunsari,77408
Kapilvastu,Kapilvastu,76394
Ghodaghodi,Kailali,75586
Lamki Chuha,Kailali,75425
Banganga,Sunsari,75242
Damak,Jhapa,75102
Tikapur,Kailali,73084
Lumbini Sanskritik,Rupandehi,72497
Chandrapur,Rautahat,72059
Kohalpur,Banke,70647
Vyas,Tanahun,70335
Ratnanagar,Chitwan,69848
Barahathawa,Sarlahi,69822
Gaur,Rautahat,68476
Barbardiya,Bardiya,68012
Rajbiraj,Saptari,67262
Shivaraj,Kapilvastu,66781
Gulariya,Bardiya,66679
Gaushala,Mahottari,66673
Belbaari,Morang,65892
Kirtipur,Kathmandu,65602
Bhadrapur,Jhapa,65543
Nagarjun,Kathmandu,65420
Dudhauli,Sindhuli,65302
Kamalamai,Sindhuli,65064
Bodebarsain,Saptari,65048
Buddhabhumi,Kapilvastu,64949
Shiva Sataxi,Jhapa,64596
Bardibas,Mahottari,63912
Inaruwa,Sunsari,63593
Siddharthanagar,Rupandehi,63483
Pathari Shanischare,Morang,62440
Kawasoti,Nawalparasi,62421
Krishnanagar,Kapilvastu,62370
Mahalaxmi,Lalitpur,62172
Kageshwori Manohara,Kathmandu,60237
Arjundhara,Jhapa,60204
Ishworpur,Sarlahi,59986
Rajapur,Bardiya,59553
Ramgram,Nawalparasi,59455
Lalbandi,Sarlahi,59395
Gaindakot,Nawalparasi,58836
Jaleshwar,Mahottari,58549
Nilkantha,Dhading,58515
Baglung,Baglung,57823
Rapti,Chitwan,57107
Suryodaya,Illam,56691
Krishnapur,Kanchanpur,56643
Duhabi,Sunsari,56269
Katari,Udayapur,56146
Khairhani,Chitwan,56094
Bansgadhi,Bardiya,55875
Saina Maina,Rupandehi,55822
Banepa,Kavrepalanchowk,55628
Changunarayan,Bhaktapur,55430
Sunwal,Nawalparasi,55424
Bardghat,Nawalparasi,55382
Ratuwamai,Morang,55380
Pokhariya,Parsa,55338
Gauriganga,Kailali,55314
Maharajgunj,Kapilvastu,54800
Urlabari,Morang,54696
Mahagadhimai,Bara,54474
Bidur,Nuwakot,54351
Madhyabindu,Nawalparasi,54140
Punarbas,Kanchanpur,53633
Belauri,Kanchanpur,53544
Devdaha,Rupandehi,53523
Gauradaha,Jhapa,53033
Rangeli,Morang,52013
Bhajani,Kailali,51845
Ramdhuni,Sunsari,51752
Haripurwa,Sarlahi,51355
Waling,Syanja,51143
Golbazar,Siraha,51137
Sunbarsi,Morang,50758
Garuda,Rautahat,50451
Tansen,Palpa,50405
Mirchaiya,Siraha,50079
Simraunghad,Bara,49939
Dakneshwari,Saptari,49788
Bedkot,Kanchanpur,49479
Balara,Sarlahi,49452
Kalyanpur,Siraha,49288
Gorkha,Gorkha,49272
Phidim,Pancthar,49201
Chaudandigadhi,Udayapur,48578
Ilam,Ilam,48536
Shuklagandaki,Tanahun,48456
Lamahi,Dang,47655
Nagarain,Dhanusha,47625
Kshireshwar Nath,Dhanusha,47453
Dhangadimai,Siraha,47449
Rupakot Majhuwagadhi,Khotang,46903
Shuklaphanta,Kanchanpur,46834
Paunauti,Kavrepalanchowk,46595
Malangwa,Sarlahi,46516
Chautara Sangachowkgadhi,Sindhupalchowk,46501
Madhuwan,Bardiya,46437
Sabaila,Dhanusha,45879
Bhanu,Tanahun,45792
Hanumannagar Kankalini,Saptari,45734
Dhanushadham,Dhanusha,45665
Manthali,Ramechhap,45416
Khadak,Saptari,45367
Melamchi,Sindhupalchowk,45343
Putalibaazar,Syanja,44876
Thakurbaba,Bardiya,44361
Haripur,Sarlahi,44342
Surunga,Saptari,44221
Hariban,Sarlahi,43928
Gurbhakot,Surkhet,43765
Godaita,Sarlahi,43429
Sheet Ganga,Argakhanchi,43373
Kolhabi,Bara,43036
