Mother Tongue,Census 2001,,Census 2011,
 -,Number,Percent,Number,Percent
Nepali,11053255,48.61,11826953,44.64
Maithali,2797582,12.3,3092530,11.67
Bhojpuri,1712536,7.53,1584958,5.98
Tharu(Dagaura/Rana),1331546,5.86,1529875,5.77
Tamang,1179145,5.19,1353311,5.11
Newar,825458,3.63,846557,3.2
Magar,770116,3.39,788530,2.98
Awadhi,560744,2.47,501752,1.89
Bantawa,371056,1.63,132583,0.5
Gurung,338925,1.49,325622,1.23
Limbu,333633,1.47,343603,1.3
Bajjika,237947,1.05,793416,2.99
Urdu,174840,0.77,691546,2.61
