Age Group,Sex,2001,2001,2011,2011,Average annual growth rate 2001-2011
 -, -,Population,%  of  total population,Population,%  of  total population, -
14-Oct,Male,1533806,13.26,1764630,13.73,1.4
 -,Female,1448126,12.5,1710794,12.53,1.67
 -,Total,2981932,12.88,3475424,13.12,1.53
15-19,Male,1185826,10.25,1443191,11.23,1.96
 -,Female,1203176,10.38,1488789,10.91,2.13
 -,Total,2389002,10.32,2931980,11.07,2.05
20-24,Male,946742,8.19,1043981,8.12,0.98
 -,Female,1070026,9.23,1314090,9.63,2.05
 -,Total,2016768,8.71,2358071,8.9,1.56
Total adolescents and youth (young) population,Male,3666374,31.71,4251802,33.09,1.48
 -,Female,3721328,32.12,4513673,33.07,1.93
 -,Total,7387702,31.91,8765475,33.08,1.71
Total  population of the country,Male,11563921,100,12849041,100,1.05
 -,Female,11587502,100,13645463,100,1.63
